X,Y
488.006,174.53
487.906,174.533
487.806,174.536
487.706,174.538
487.606,174.541
487.506,174.544
487.406,174.547
487.306,174.55
487.206,174.553
487.106,174.556
487.006,174.559
486.906,174.562
486.806,174.565
486.706,174.568
486.607,174.571
486.507,174.574
486.407,174.577
486.307,174.58
486.207,174.583
486.107,174.585
486.007,174.588
485.907,174.591
485.807,174.593
485.707,174.596
485.607,174.599
485.507,174.601
485.407,174.604
485.307,174.606
485.207,174.609
485.107,174.612
485.007,174.614
484.907,174.617
484.807,174.62
484.707,174.623
484.607,174.626
484.507,174.629
484.407,174.631
484.307,174.634
484.207,174.637
484.107,174.64
484.007,174.642
483.908,174.645
483.808,174.647
483.708,174.65
483.608,174.653
483.508,174.655
483.408,174.658
483.308,174.66
483.208,174.663
483.108,174.666
483.008,174.668
482.908,174.671
482.808,174.674
482.708,174.676
482.608,174.679
482.508,174.682
482.408,174.684
482.308,174.687
482.208,174.69
482.108,174.693
482.008,174.695
481.908,174.698
481.808,174.701
481.708,174.704
481.608,174.706
481.508,174.709
481.408,174.712
481.308,174.714
481.208,174.717
481.109,174.72
481.009,174.723
480.909,174.725
480.809,174.728
480.709,174.731
480.609,174.733
480.509,174.736
480.409,174.739
480.309,174.741
480.209,174.744
480.109,174.747
480.009,174.749
479.909,174.752
479.809,174.755
479.709,174.757
479.609,174.76
479.509,174.763
479.409,174.766
479.309,174.768
479.209,174.771
479.109,174.774
479.009,174.776
478.909,174.779
478.809,174.782
478.709,174.785
478.609,174.787
478.509,174.79
478.41,174.793
478.31,174.795
478.21,174.798
478.11,174.801
478.01,174.804
477.91,174.807
477.81,174.809
477.71,174.812
477.61,174.815
477.51,174.817
477.41,174.82
477.31,174.823
477.21,174.825
477.11,174.828
477.01,174.831
476.91,174.833
476.81,174.836
476.71,174.839
476.61,174.841
476.51,174.844
476.41,174.847
476.31,174.851
476.21,174.854
476.11,174.858
476.011,174.862
475.911,174.865
475.811,174.869
475.711,174.872
475.611,174.875
475.511,174.879
475.411,174.882
475.311,174.886
475.211,174.89
475.111,174.894
475.011,174.898
474.911,174.901
474.811,174.905
474.711,174.908
474.611,174.91
474.511,174.912
474.411,174.914
474.311,174.915
474.211,174.916
474.111,174.917
474.011,174.917
473.911,174.918
473.811,174.918
473.711,174.917
473.611,174.917
473.511,174.917
473.411,174.916
